;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
363519;B;B;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;CE;CE;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
978533;E;E;C;B;7;C;A;B;C;A;B;B;A;B;A;A;A;A;C;A;A;D;A;A;B;;PE;0;M;1;;2.0;;;;1.0;3;;1.0;;3
2266090;C;E;C;D;5;C;A;B;C;C;B;B;B;B;B;B;A;A;C;A;A;C;A;B;B;BA;BA;0;F;0;;3.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
941138;E;F;C;D;4;G;A;B;D;C;A;B;A;B;A;B;A;B;B;A;A;D;B;C;B;;PR;0;M;0;;2.0;;1.0;2.0;1.0;2;;1.0;;2
1675184;A;C;C;C;4;C;A;B;C;A;B;B;B;A;A;B;A;A;B;A;A;A;A;A;B;;SP;0;F;0;1.0;3.0;;;;1.0;3;;1.0;;1
719616;C;E;A;B;4;B;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B;;PB;1;F;0;;2.0;;1.0;2.0;;3;;1.0;;2
109089;G;G;E;D;4;Q;D;E;E;C;C;B;C;D;C;A;A;B;B;B;B;E;B;C;B;MS;MS;1;M;0;;3.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
362201;B;B;B;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A;;SP;1;F;1;;2.0;;;;1.0;2;;1.0;;3
1398143;B;E;A;A;4;C;A;B;D;B;B;B;B;B;A;A;A;A;B;A;A;C;A;B;B;PR;PR;1;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1109668;B;B;A;A;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;;PB;0;F;1;;3.0;;;;1.0;1;;1.0;;3
